champ,valeur
email,booking@rhyllow.dance
instagram,@rhyllow
instagram_url,https://www.instagram.com/rhyllow
dm_url,https://ig.me/m/rhyllow
location_en,Based in Madrid · available worldwide
location_es,Base en Madrid · disponible en todo el mundo
kicker_en,Dancer · Performer · Movement Artist — Madrid / Morocco
kicker_es,Bailarina · Intérprete · Artista del movimiento — Madrid / Marruecos
bio_lead_en,«Miro al miedo con coraje.»
bio_lead_es,«Miro al miedo con coraje.»
bio_en,"Guadalupe Sánchez — RHY — is a professional dancer moving between the luxury performance circuit of Morocco and the stages of Madrid. From dinner-show residencies in Marrakech and Rabat to music video, festival and live-club work, she brings cinematic physicality and a fearless presence across commercial, contemporary, floorwork and heels."
bio_es,"Guadalupe Sánchez — RHY — es bailarina profesional que transita entre el circuito de espectáculo de lujo de Marruecos y los escenarios de Madrid. De residencias de cena-espectáculo en Marrakech y Rabat al videoclip, el festival y el club en directo, aporta una fisicidad cinematográfica y una presencia sin miedo en comercial, contemporáneo, floorwork y heels."
tags (EN / ES),"Commercial / Comercial , Contemporary / Contemporáneo , Floorwork / Floorwork , Heels / Heels , Acrobatic conditioning / Preparación acrobática , Teaching / Docencia"
