id,order,category,color,cat_en,cat_es,title_en,title_es,role_en,role_es,loc_en,loc_es,year,disc_en,disc_es,desc_en,desc_es,card_media,card_poster,hero_media,hero_poster,gallery
dar-soukkar,0,stage,false,Stage · Residency,Escena · Residencia,Palais Dar Soukkar,Palais Dar Soukkar,Featured dancer,Bailarina destacada,"Marrakech, Morocco","Marrakech, Marruecos",2024–25,Commercial · Heels,Comercial · Heels,"Dinner-show residency at one of Marrakech's premier luxury venues. Choreographed sets blending commercial, heels and cinematic staging for a nightly international audience — precision, glamour and stamina across a full season.","Residencia de cena-espectáculo en uno de los locales de lujo más emblemáticos de Marrakech. Coreografías que fusionan comercial, heels y una puesta en escena cinematográfica para un público internacional cada noche — precisión, glamour y resistencia durante toda una temporada.",https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1763385532_3767871383913996591_1439203368.mp4,https://zippy-torrone-af1182.netlify.app/photos/dar-soukkar-poster.jpg,https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1763385532_3767871383913996591_1439203368.mp4,,"https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1735223379_3531631176419930397_1439203368.mp4
https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1720883095_3411334630202520783_1439203368.mp4
https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1752234710_3674333524056749250_1439203368.jpg"
snor,1,screen,false,Screen · Music Video,Pantalla · Videoclip,Snor — Music Video,Snor — Videoclip,Lead / main character,Protagonista principal,Morocco,Marruecos,2024,Commercial · Acting,Comercial · Interpretación,"Lead role and main character in the official music video for Moroccan rapper Snor. Carrying the narrative on camera — movement direction, expression and presence built for the screen.","Papel protagonista y personaje principal en el videoclip oficial del rapero marroquí Snor. Llevando la narrativa ante la cámara — dirección de movimiento, expresión y presencia pensadas para la pantalla.",https://zippy-torrone-af1182.netlify.app/videos/snor.mp4,https://zippy-torrone-af1182.netlify.app/photos/snor.jpg,https://zippy-torrone-af1182.netlify.app/videos/snor.mp4,https://zippy-torrone-af1182.netlify.app/photos/snor.jpg,"https://zippy-torrone-af1182.netlify.app/videos/snor.mp4
https://zippy-torrone-af1182.netlify.app/photos/snor-2.jpg
https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1746017560_3622175116885262739_1439203368.mp4"
editorial-3,2,studio,false,Studio · Editorial,Estudio · Editorial,The Leap,El salto,Dancer,Bailarina,Studio · Madrid,Estudio · Madrid,2024,Contemporary · Elevation,Contemporáneo · Elevación,"A single suspended instant — full extension caught mid-air against a bare studio wall. Power, line and control distilled into one frame; the signature image of RHY's editorial work.","Un único instante suspendido — extensión total capturada en el aire contra una pared de estudio desnuda. Potencia, línea y control destilados en un solo fotograma; la imagen insignia del trabajo editorial de RHY.",https://zippy-torrone-af1182.netlify.app/photos/editorial-3.jpg,,https://zippy-torrone-af1182.netlify.app/photos/editorial-3.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/editorial-3.jpg
https://zippy-torrone-af1182.netlify.app/photos/editorial-4.jpg"
casa-emma,3,stage,false,Stage · Residency,Escena · Residencia,Casa Emma,Casa Emma,Featured dancer,Bailarina destacada,"Rabat, Morocco","Rabat, Marruecos",2024–25,Commercial · Heels,Comercial · Heels,"Dinner-show residency in Rabat — nightly choreographed performance on Morocco's luxury circuit, pairing elegance with commercial punch.","Residencia de cena-espectáculo en Rabat — actuación coreografiada cada noche en el circuito de lujo de Marruecos, uniendo elegancia y fuerza comercial.",https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1731942008_3504103889734910733_1439203368.mp4,https://zippy-torrone-af1182.netlify.app/photos/casa-emma-poster.jpg,https://zippy-torrone-af1182.netlify.app/photos/rhyllow_1701890041_3252011622930560526_1439203368.mp4,,"https://zippy-torrone-af1182.netlify.app/photos/casa-emma.jpg
https://zippy-torrone-af1182.netlify.app/photos/dar-soukkar.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-b.jpg"
shoko,4,stage,false,Stage · Live venue,Escena · Sala,Shôko Madrid,Shôko Madrid,Live performer,Intérprete en directo,"Madrid, Spain","Madrid, España",2025,Commercial · Heels,Comercial · Heels,"Performances at Shôko Madrid, a flagship club and live venue in the capital. High-energy commercial and heels sets built for a large, close crowd.","Actuaciones en Shôko Madrid, club insignia y sala de directo de la capital. Sets de comercial y heels de alta energía pensados para un público numeroso y cercano.",https://zippy-torrone-af1182.netlify.app/photos/shoko.jpg,,https://zippy-torrone-af1182.netlify.app/photos/shoko.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/shoko.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-d.jpg
https://zippy-torrone-af1182.netlify.app/photos/cabalgata.jpg"
editorial-1,5,studio,false,Studio · Editorial,Estudio · Editorial,Movement Study I,Estudio de movimiento I,Dancer,Bailarina,Studio · Madrid,Estudio · Madrid,2025,Floorwork · Contemporary,Floorwork · Contemporáneo,"A studio series exploring floorwork and line — raw physicality captured in black and white. The foundation beneath every stage: control, weight and breath.","Una serie de estudio que explora el floorwork y la línea — fisicidad pura capturada en blanco y negro. La base bajo cada escenario: control, peso y respiración.",https://zippy-torrone-af1182.netlify.app/videos/reel.mp4,https://zippy-torrone-af1182.netlify.app/photos/reel-cover.jpg,https://zippy-torrone-af1182.netlify.app/videos/reel.mp4,https://zippy-torrone-af1182.netlify.app/photos/reel-cover.jpg,"https://zippy-torrone-af1182.netlify.app/photos/editorial-1.jpg
https://zippy-torrone-af1182.netlify.app/photos/g2.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-e.jpg"
nostalgia,6,stage,false,Stage · Festival,Escena · Festival,Nostalgia Lovers Festival,Nostalgia Lovers Festival,Festival dancer,Bailarina de festival,Morocco,Marruecos,2024,Commercial · Stage,Comercial · Escena,Festival stage performance with AI Dance Agency — large-scale choreography and crowd energy under festival lights.,Actuación en el escenario del festival con AI Dance Agency — coreografía a gran escala y energía de público bajo las luces del festival.,https://zippy-torrone-af1182.netlify.app/photos/nostalgia.jpg,,https://zippy-torrone-af1182.netlify.app/photos/nostalgia.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/nostalgia.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-f.jpg
https://zippy-torrone-af1182.netlify.app/photos/shoko.jpg"
editorial-4,7,studio,false,Studio · Editorial,Estudio · Editorial,Grounded,Arraigo,Dancer,Bailarina,Studio · Madrid,Estudio · Madrid,2024,Floorwork · Strength,Floorwork · Fuerza,"Low, wide and rooted — a study in tension and reflection on a polished floor. The counterweight to the leap: everything held close to the ground before it releases.","Bajo, amplio y arraigado — un estudio de tensión y reflejo sobre un suelo pulido. El contrapeso del salto: todo contenido junto al suelo antes de liberarse.",https://zippy-torrone-af1182.netlify.app/photos/editorial-4.jpg,,https://zippy-torrone-af1182.netlify.app/photos/editorial-4.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/editorial-4.jpg
https://zippy-torrone-af1182.netlify.app/photos/editorial-3.jpg
https://zippy-torrone-af1182.netlify.app/photos/editorial-2.jpg"
cabalgata,8,stage,false,Stage · Parade,Escena · Cabalgata,Cabalgata de Reyes,Cabalgata de Reyes,Parade performer,Intérprete de cabalgata,Comunidad de Madrid,Comunidad de Madrid,2025,Commercial · Stage,Comercial · Escena,"Performing in the Three Kings Parade (Cabalgata de Reyes) for the Comunidad de Madrid — one of the city's largest public events, danced for tens of thousands along the route.","Actuación en la Cabalgata de Reyes para la Comunidad de Madrid — uno de los mayores eventos públicos de la ciudad, bailada para decenas de miles de personas a lo largo del recorrido.",https://zippy-torrone-af1182.netlify.app/photos/cabalgata.jpg,,https://zippy-torrone-af1182.netlify.app/photos/cabalgata.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/cabalgata.jpg
https://zippy-torrone-af1182.netlify.app/photos/shoko.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-d.jpg"
editorial-2,9,studio,false,Studio · Editorial,Estudio · Editorial,Movement Study II,Estudio de movimiento II,Dancer,Bailarina,Studio · Madrid,Estudio · Madrid,2025,Contemporary,Contemporáneo,Contemporary lines and suspension — a black-and-white study of shape and stillness between movements.,Líneas contemporáneas y suspensión — un estudio en blanco y negro de la forma y la quietud entre movimientos.,https://zippy-torrone-af1182.netlify.app/photos/editorial-2.jpg,,https://zippy-torrone-af1182.netlify.app/photos/editorial-2.jpg,,"https://zippy-torrone-af1182.netlify.app/photos/editorial-2.jpg
https://zippy-torrone-af1182.netlify.app/photos/editorial-1.jpg
https://zippy-torrone-af1182.netlify.app/photos/ig-a.jpg"
